scenario_id,policy_id,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,max_decode_tokens_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturated_steps,budget_saturation_fraction,n_steps,max_waiting_queue,mean_waiting_queue
joint_mm_0220,weighted_fair_share,146,595,146,7,21,27,192,0.05523590333716916,3476,38,15.268411967779056
joint_mm_0220,least_laxity_first,114,418,114,7,23,29,193,0.05889533109551419,3277,44,20.19194385108331
joint_mm_0220,kv_constrained_online,149,563,149,7,32,44,193,0.05501710376282782,3508,39,15.890820980615736
joint_mm_0221,full_prefill,0,0,0,0,537,3921,552,0.812960235640648,679,41,14.363770250368189
joint_mm_0221,chunked_prefill_small,0,0,0,0,511,2558,519,0.729957805907173,711,42,14.708860759493671
joint_mm_0221,estimated_service_time_first,374,3216,374,14,402,1471,543,0.7541666666666667,720,41,12.07638888888889
joint_mm_0221,weighted_fair_share,371,3040,371,15,422,1576,543,0.7469050894085282,727,41,12.449793672627235
joint_mm_0221,least_laxity_first,119,683,119,11,537,3456,551,0.8138847858197932,677,41,18.63072378138848
joint_mm_0221,kv_constrained_online,374,3210,374,15,422,1587,545,0.7579972183588317,719,41,12.675938803894297
joint_mm_0222,full_prefill,0,0,0,0,319,3223,361,0.40066592674805773,901,12,1.6681465038845726
joint_mm_0222,chunked_prefill_small,0,0,0,0,303,2682,316,0.3423618634886241,923,11,1.704225352112676
joint_mm_0222,estimated_service_time_first,68,374,68,8,319,3008,361,0.4011111111111111,900,12,1.6744444444444444
joint_mm_0222,weighted_fair_share,68,328,68,6,319,3059,361,0.4011111111111111,900,12,1.6744444444444444
joint_mm_0222,least_laxity_first,3,18,3,6,319,3253,361,0.40066592674805773,901,12,1.6958934517203108
joint_mm_0222,kv_constrained_online,68,327,68,6,319,3060,361,0.4011111111111111,900,12,1.6766666666666667
joint_mm_0223,full_prefill,0,0,0,0,2,3,22,0.00676714856967087,3251,34,13.363272839126422
joint_mm_0223,chunked_prefill_small,0,0,0,0,0,0,0,0.0,3323,34,13.59163406560337
joint_mm_0223,estimated_service_time_first,0,0,0,0,0,0,0,0.0,3222,30,11.692737430167599
joint_mm_0223,weighted_fair_share,1,4,1,4,0,0,1,0.00032123353678124,3113,31,12.006745904272407
joint_mm_0223,least_laxity_first,0,0,0,0,6,6,12,0.0037418147801683817,3207,37,15.968506392266915
joint_mm_0223,kv_constrained_online,0,0,0,0,0,0,1,0.0003201024327784891,3124,31,12.641485275288092
joint_mm_0224,full_prefill,0,0,0,0,37,160,92,0.10991636798088411,837,40,11.00358422939068
joint_mm_0224,chunked_prefill_small,0,0,0,0,0,0,0,0.0,938,43,12.546908315565032
joint_mm_0224,estimated_service_time_first,25,114,25,13,40,150,67,0.07158119658119658,936,35,8.24465811965812
joint_mm_0224,weighted_fair_share,18,109,18,8,37,148,52,0.05683060109289618,915,35,8.456830601092896
joint_mm_0224,least_laxity_first,11,37,11,8,29,141,50,0.06165228113440197,811,40,15.06288532675709
joint_mm_0224,kv_constrained_online,3,21,3,12,25,135,44,0.049162011173184354,895,35,8.854748603351956
joint_mm_0225,full_prefill,25,37,25,2,36,67,214,0.12369942196531791,1730,34,11.713294797687862
joint_mm_0225,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1831,36,12.522119060622611
joint_mm_0225,estimated_service_time_first,126,889,126,15,50,81,211,0.1144872490504612,1843,33,10.097124253933803
joint_mm_0225,weighted_fair_share,124,828,124,15,61,99,215,0.11826182618261827,1818,34,10.481848184818482
joint_mm_0225,least_laxity_first,104,695,104,15,35,66,211,0.13113735239279056,1609,36,17.49160969546302
joint_mm_0225,kv_constrained_online,123,970,123,15,50,81,213,0.12241379310344827,1740,34,11.2683908045977
joint_mm_0226,full_prefill,0,0,0,0,47,147,67,0.08712613784135241,769,14,1.8530559167750325
joint_mm_0226,chunked_prefill_small,0,0,0,0,14,25,18,0.023047375160051217,781,14,1.912932138284251
joint_mm_0226,estimated_service_time_first,16,87,16,10,49,149,66,0.08650065530799476,763,14,1.8414154652686763
joint_mm_0226,weighted_fair_share,13,57,13,9,47,147,66,0.08527131782945736,774,14,1.847545219638243
joint_mm_0226,least_laxity_first,2,14,2,9,50,150,67,0.09668109668109669,693,14,2.3261183261183263
joint_mm_0226,kv_constrained_online,16,86,16,9,50,150,67,0.08746736292428199,766,14,1.877284595300261
joint_mm_0227,full_prefill,0,0,0,0,17,20,166,0.048538011695906436,3420,27,11.839181286549708
joint_mm_0227,chunked_prefill_small,0,0,0,0,0,0,0,0.0,3730,27,12.57024128686327
joint_mm_0227,estimated_service_time_first,106,206,106,3,2,2,163,0.04560716284275322,3574,21,8.403749300503637
joint_mm_0227,weighted_fair_share,88,185,88,3,2,2,163,0.04689298043728424,3476,22,8.626294591484465
joint_mm_0227,least_laxity_first,81,133,81,3,8,8,166,0.04927278124072425,3369,28,15.76996141288216
joint_mm_0227,kv_constrained_online,110,192,110,3,14,14,164,0.04553026096612993,3602,23,8.761521377012771
joint_mm_0228,full_prefill,72,72,72,1,34,51,132,0.09211444521981857,1433,23,7.195394277739009
joint_mm_0228,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1721,29,9.042417199302731
joint_mm_0228,estimated_service_time_first,30,87,30,5,20,27,60,0.04034969737726967,1487,21,5.912575655682582
joint_mm_0228,weighted_fair_share,23,72,23,4,23,30,54,0.03994082840236687,1352,21,6.443047337278107
joint_mm_0228,least_laxity_first,7,26,7,5,16,23,31,0.02564102564102564,1209,25,11.158808933002481
joint_mm_0228,kv_constrained_online,32,76,32,3,24,31,68,0.05291828793774319,1285,21,7.0007782101167315
joint_mm_0229,full_prefill,0,0,0,0,11,12,107,0.08727569331158239,1226,16,3.9804241435562804
joint_mm_0229,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1369,18,4.593864134404675
joint_mm_0229,estimated_service_time_first,10,28,10,4,7,7,29,0.02215431627196333,1309,17,3.8823529411764706
joint_mm_0229,weighted_fair_share,18,72,18,9,7,7,37,0.02809415337889142,1317,17,3.8648443432042523
joint_mm_0229,least_laxity_first,5,35,5,7,7,7,27,0.02019446522064323,1337,16,3.795063575168287
joint_mm_0229,kv_constrained_online,16,44,16,3,10,10,35,0.026615969581749048,1315,16,3.628897338403042
joint_mm_0230,full_prefill,15,23,15,2,7,8,103,0.09970958373668926,1033,27,8.314617618586642
joint_mm_0230,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1145,28,9.503056768558952
joint_mm_0230,estimated_service_time_first,56,184,56,7,21,29,104,0.09437386569872959,1102,21,4.99092558983666
joint_mm_0230,weighted_fair_share,57,178,57,7,11,11,103,0.09432234432234432,1092,23,5.617216117216117
joint_mm_0230,least_laxity_first,47,120,47,7,15,15,105,0.11972633979475485,877,30,15.062713797035348
joint_mm_0230,kv_constrained_online,64,192,64,7,21,29,102,0.09798270893371758,1041,24,6.75312199807877
joint_mm_0231,full_prefill,0,0,0,0,11,20,54,0.06293706293706294,858,25,7.498834498834499
joint_mm_0231,chunked_prefill_small,0,0,0,0,0,0,0,0.0,897,25,8.127090301003344
joint_mm_0231,estimated_service_time_first,33,122,33,7,10,19,53,0.06050228310502283,876,24,5.385844748858448
joint_mm_0231,weighted_fair_share,38,141,38,7,11,20,53,0.06198830409356725,855,24,5.773099415204678
joint_mm_0231,least_laxity_first,10,44,10,7,20,31,55,0.0740242261103634,743,28,12.179004037685061
