scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk10.phaselate.tightloose.s20260913,kv_constrained_online,low,late,loose,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,0.9228333333333333,506,1715,1948
kvp2.bulk10.phaselate.tightloose.s20260914,kv_constrained_online,low,late,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,0.999,332,1598,2952
kvp2.bulk10.phaselate.tighttight.s20260911,least_laxity_first,low,late,tight,20260911,False,success,0.8,0.8,1.0,10,1.0,10,0.6,1.0638333333333334,1199,1472,0
kvp2.bulk10.phaselate.tighttight.s20260910,kv_constrained_online,low,late,tight,20260910,False,success,0.9,0.9,1.0,10,0.9,10,0.9,1.079,1305,1823,140
kvp2.bulk10.phaselate.tighttight.s20260910,least_laxity_first,low,late,tight,20260910,False,success,0.55,0.55,1.0,10,1.0,10,0.1,1.128,1475,1715,0
kvp2.bulk10.phaselate.tighttight.s20260911,kv_constrained_online,low,late,tight,20260911,False,success,0.9,0.9,1.0,10,1.0,10,0.8,1.0393333333333334,644,1684,339
kvp2.bulk10.phaselate.tightloose.s20260915,kv_constrained_online,low,late,loose,20260915,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.059,516,2234,4650
kvp2.bulk10.phaselate.tighttight.s20260912,kv_constrained_online,low,late,tight,20260912,False,success,0.9,0.9,1.0,10,0.8,10,1.0,1.0693333333333332,865,2207,123
kvp2.bulk10.phaselate.tighttight.s20260912,least_laxity_first,low,late,tight,20260912,False,success,0.5,0.5,1.0,10,1.0,10,0.0,1.076,1588,1804,0
kvp2.bulk10.phaselate.tighttight.s20260914,least_laxity_first,low,late,tight,20260914,True,success,0.95,0.95,1.0,10,1.0,10,0.9,1.1058333333333332,953,1232,0
kvp2.bulk10.phaselate.tighttight.s20260913,least_laxity_first,low,late,tight,20260913,False,success,0.8,0.8,1.0,10,1.0,10,0.6,1.0581666666666667,1038,1403,0
kvp2.bulk10.phaselate.tighttight.s20260914,kv_constrained_online,low,late,tight,20260914,True,success,0.95,0.95,1.0,10,1.0,10,0.9,1.0948333333333333,686,1325,169
kvp2.bulk10.phaselate.tighttight.s20260913,kv_constrained_online,low,late,tight,20260913,False,success,0.95,0.95,1.0,10,1.0,10,0.9,1.0656666666666668,767,1549,172
kvp2.bulk10.phaselate.tightloose.s20260915,least_laxity_first,low,late,loose,20260915,True,success,0.95,0.95,1.0,10,0.9,10,1.0,1.0695,1434,1931,0
kvp2.bulk10.phaselate.tighttight.s20260915,least_laxity_first,low,late,tight,20260915,True,success,0.5,0.5,1.0,10,0.9,10,0.1,1.0695,1434,1931,0
