scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,ttft_attainment,tbt_attainment,request_throughput,token_throughput,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,status
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260818,decode_priority_chunked,1.0,1.0,1.0,0.07694591791484376,0.1829181453683913,0.2134341542365092,0.001,0.0010000000000000002,0.0007343794533053103,0.07621153846153847,1.0,1.0,22.559652928416483,7035.574837310195,0,0,0,179,1937,0.08542931483087597,7.032523850823938,1.6960104076322637,0.9868990940950869,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260818,adaptive_prefill_control,1.0,1.0,1.0,0.07694591791484376,0.1829181453683913,0.2134341542365092,0.001,0.0010000000000000002,0.0007343794533053103,0.07621153846153847,1.0,1.0,22.559652928416483,7035.574837310195,0,0,0,179,1937,0.08542931483087597,7.032523850823938,1.6960104076322637,0.9868990940950869,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260819,full_prefill,1.0,1.0,1.0,0.060884456328163014,0.14052704592369042,0.14777309452334367,0.001,0.0010000000000000002,0.0006921486358553118,0.0601923076923077,1.0,1.0,15.762352227947863,5583.510154592301,0,0,0,212,2801,0.06818181818181818,5.581818181818182,0.9327272727272727,0.9927455652634366,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260818,chunked_prefill_small,1.0,1.0,1.0,0.07694591791484376,0.1829181453683913,0.2134341542365092,0.001,0.0010000000000000002,0.0007343794533053103,0.07621153846153847,1.0,1.0,22.559652928416483,7035.574837310195,0,0,0,179,1937,0.08542931483087597,7.032523850823938,1.6960104076322637,0.9868990940950869,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260819,chunked_prefill_small,1.0,1.0,1.0,0.07211522555893222,0.17671113013682793,0.1887330945233437,0.001,0.0010000000000000002,0.0006921486358553118,0.07142307692307694,1.0,1.0,15.757575757575756,5581.818181818181,0,0,0,168,1814,0.05392305362011512,5.580127234171464,1.1093607997576491,0.9801959226899656,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260819,decode_priority_chunked,1.0,1.0,1.0,0.07211522555893222,0.17671113013682793,0.1887330945233437,0.001,0.0010000000000000002,0.0006921486358553118,0.07142307692307694,1.0,1.0,15.757575757575756,5581.818181818181,0,0,0,168,1814,0.05392305362011512,5.580127234171464,1.1093607997576491,0.9801959226899656,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260819,chunked_prefill_large,1.0,1.0,1.0,0.062326764020470694,0.1429899051285586,0.15424309452334367,0.001,0.0010000000000000002,0.0006921486358553118,0.06163461538461539,1.0,1.0,15.762352227947863,5583.510154592301,0,0,0,206,2650,0.06575757575757575,5.581818181818182,0.9554545454545454,0.9882269879092754,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260818,full_prefill,0.9523809523809523,0.9523809523809523,1.0,0.043343403526187756,0.11201116023847982,0.11754581150695374,0.001,0.0010000000000000002,0.0006767368595210887,0.042666666666666665,1.0,1.0,13.972055888223553,3751.497005988024,0,0,0,162,1533,0.06301764494058336,4.060857039971192,0.6301764494058336,0.9866656208330065,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260818,chunked_prefill_small,0.9047619047619048,0.9047619047619048,1.0,0.05591483209761633,0.15375368121222568,0.15892440557766396,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.055238095238095246,0.9047619047619048,1.0,13.95812562313061,3747.7567298105682,0,0,0,103,839,0.04235463029432879,4.047738693467337,0.8176597272074659,0.9813430745268537,success
pd1.psizemixed.occlow.slotbt_tight.loadhigh.s20260819,adaptive_prefill_control,1.0,1.0,1.0,0.07211522555893222,0.17671113013682793,0.1887330945233437,0.001,0.0010000000000000002,0.0006921486358553118,0.07142307692307694,1.0,1.0,15.757575757575756,5581.818181818181,0,0,0,168,1814,0.05392305362011512,5.580127234171464,1.1093607997576491,0.9801959226899656,success
